"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000000003",10.1058542095845,9.85175481162405,10.1837439753755,10.0426158183627,10.4519251467425,10.2058434110592,10.3203555872861,10.0010876532068
"ENSG00000000419",9.70924276559707,9.91798563330238,9.82455005258528,9.87449176024902,9.77878108585128,9.88361919685999,9.70386542128321,9.84470186904479
"ENSG00000000457",9.46983840120927,9.34199692549392,9.39773947253436,9.49915018645145,9.3036278477032,9.42316837646661,9.51362375079736,9.47076195167175
"ENSG00000000460",8.69884359029329,8.67833707225392,8.52743719679494,8.71916613706879,8.72960098059741,8.55840134696168,8.77727431099674,8.61657030166554
"ENSG00000000971",11.8813470558044,12.221611246596,12.4323719293233,12.7438486703507,12.5297815650111,12.9856254923311,12.5340650006209,13.0771508281933
"ENSG00000001036",11.4001957457787,11.1793833243925,11.3781826177788,11.2748086139436,11.1442236724932,10.9889535973913,11.4480886979846,11.163860054555
"ENSG00000001084",10.0330283457388,9.62304270497581,9.92927168755225,10.0489987329513,10.2024228006663,9.9133167116755,10.2392961309382,10.1211601596685
"ENSG00000001167",9.63256141514957,9.44065678353591,9.69632060450061,9.28835004047348,9.99560817448628,9.7239058394049,9.6977680613473,9.33311532181736
"ENSG00000001460",9.06093901910277,9.10761016537685,9.22978119040548,9.11473832737588,9.15729976965833,8.99455314673345,9.06574877279126,9.09736619310653
"ENSG00000001461",11.3486495790455,11.346900706881,12.2557247358772,12.120305190963,11.41092242543,11.297381839425,11.6190049100113,11.8906311698281
"ENSG00000001497",9.86125001706645,9.90041593959604,9.8288486904342,9.83510283468686,9.89854299090906,9.87084744658288,9.8920044930211,9.71792777053095
"ENSG00000001561",8.5881786394254,8.50813616076015,9.03720079406415,9.21548719116513,8.18832882727845,8.26689051393873,8.91811982825535,9.05709685792476
"ENSG00000001617",9.86767646919837,9.62304270497581,10.2161332741093,10.0232803616592,9.95190234309994,9.8172435840282,9.99947410313046,10.0572861240333
"ENSG00000001626",8.15233507295459,8.07460472773978,8.10256475086087,8.10313936984864,8.02124410825732,7.98474303953067,8.03597198562627,8.04926678911211
"ENSG00000001629",10.8714819333122,10.7697033544433,11.2812555935609,10.9404660691348,11.4728565968956,11.2099324942221,11.2289094572314,11.1375738690431
"ENSG00000001630",10.4477492643852,10.3391072083998,10.4152119347543,10.4825496765267,10.624543411991,10.3972841957073,10.4885283039664,10.2274017041721
"ENSG00000001631",10.0665013589614,10.2304652627013,10.336500644311,10.1051053984824,10.421852865975,10.3369635364261,10.3884321339801,10.3428358967715
"ENSG00000002016",9.24975172433646,9.17430188716212,9.17183777436568,8.97742607090785,9.28128786101356,9.08229859610312,9.08320853457313,8.80503668511273
"ENSG00000002330",10.1544351755726,10.1272913705119,10.060202803596,10.0124149921126,10.0317735925255,10.0716317968504,10.0531841402549,10.1054763554402
"ENSG00000002549",10.8475276347267,10.8335077009551,10.5427397841819,10.8711050096231,10.6668521368332,10.7099162302749,10.3492381131007,10.5102120939453
"ENSG00000002586",12.8932525909544,13.0155946252037,13.0741300436475,13.2462996623926,13.3082310613262,13.2478996354438,12.9566085694414,13.0336029066211
"ENSG00000002746",8.99867248111692,9.0290090787443,8.67054384347939,8.84837792763353,8.77559079796305,8.64008594570143,8.73829810955309,8.93348248543392
"ENSG00000002822",9.56313197464422,9.46846137838998,9.49696099053114,9.31545805134442,9.51722677718571,9.61171259032381,9.46781798355212,9.48951156278391
"ENSG00000002834",12.9414289470005,13.1226909001778,12.9990642261139,13.4686109515153,12.8015982027118,13.3724586710753,12.9784612983136,13.3224379722153
"ENSG00000002919",9.17814172873326,9.24624733661947,9.1963546201818,9.39671118515677,9.13433337273633,9.24827305492625,9.15676268405942,9.41515137731235
"ENSG00000002933",10.7135004201106,11.0540678745584,9.79257898071553,10.0167718715236,8.30503989169368,8.20225895460624,8.60308949052698,8.78251260050587
